iter	RMSE
0	0.6489597974
1	0.6334415127
2	0.6181527334
3	0.6032777586
4	0.5889846561
5	0.575200256
6	0.5616102485
7	0.5483315426
8	0.5357648174
9	0.5231548596
10	0.5110655365
11	0.4994005235
12	0.4881041219
13	0.476950567
14	0.4661347326
15	0.4557358699
16	0.4458194787
17	0.4359582023
18	0.4264352288
19	0.4171648141
20	0.4080800738
21	0.3994217723
22	0.390812638
23	0.3826623355
24	0.3745493094
25	0.3666712209
26	0.3590498581
27	0.3515774228
28	0.3442237457
29	0.3371991614
30	0.3302663194
31	0.3236889975
32	0.3171786383
33	0.3110531498
34	0.3050914878
35	0.2991178342
36	0.2933019332
37	0.2878738958
38	0.2825645845
39	0.2775001143
40	0.2724876941
41	0.2678122115
42	0.2631317028
43	0.2585326899
44	0.2541781753
45	0.2499798184
46	0.2458432687
47	0.2419169917
48	0.2381122554
49	0.2343575937
50	0.2307378517
51	0.2272941428
52	0.2239544255
53	0.2206491548
54	0.2176187678
55	0.2145589148
56	0.2117090715
57	0.2088033458
58	0.2061040651
59	0.2034618483
60	0.2008522087
61	0.1984121708
62	0.1959385706
63	0.1935939644
64	0.1914666859
65	0.1892454731
66	0.1872326842
67	0.1852134581
68	0.1833907167
69	0.1815998465
70	0.1798317608
71	0.1780728285
72	0.1764212097
73	0.1748395708
74	0.1733527262
75	0.1718736931
76	0.1704922226
77	0.1691470771
78	0.16778057
79	0.166541152
80	0.1652723722
81	0.164074196
82	0.1629956935
83	0.1619863909
84	0.1609397878
85	0.1599785686
86	0.1589772595
87	0.158085351
88	0.1571854168
89	0.1563365891
90	0.1554968724
91	0.1546658879
92	0.1539073275
93	0.1531839983
94	0.1524285972
95	0.151715257
96	0.1510379977
97	0.1504181899
98	0.1498496984
99	0.1492346955
100	0.1486688265
101	0.1481068081
102	0.1475797333
103	0.1471128723
104	0.1466292102
105	0.1461578562
106	0.1456901118
107	0.145252191
108	0.1448352699
109	0.1444299391
110	0.1440073825
111	0.143647362
112	0.1432987193
113	0.142988299
114	0.1426662806
115	0.1423297591
116	0.1419986526
117	0.1416817581
118	0.1413747983
119	0.1410957566
120	0.1408361945
121	0.140585632
122	0.1403277137
123	0.1400749209
124	0.139823776
125	0.1396045136
126	0.1393939166
127	0.1391431765
128	0.1389338502
129	0.1387470552
130	0.1385629017
131	0.1383833242
132	0.1381995336
133	0.1380455717
134	0.1378679417
135	0.137693413
136	0.1375306013
137	0.1373652272
138	0.1372204333
139	0.1370874463
140	0.1369530059
141	0.136813848
142	0.1366681251
143	0.1365219724
144	0.1364054079
145	0.1362838584
146	0.1361788913
147	0.1360600338
148	0.1359586704
149	0.135832472
150	0.1357414096
151	0.1356440855
152	0.1355591912
153	0.1354517537
154	0.1353376628
155	0.1352548163
156	0.1351444364
157	0.1350599559
158	0.1349770146
159	0.1348976104
160	0.1348254944
161	0.1347391143
162	0.1346749811
163	0.1345816795
164	0.1345095581
165	0.1344411588
166	0.134369386
167	0.1343048246
168	0.1342295619
169	0.1341682867
170	0.1340979924
171	0.1340277889
172	0.1339465269
173	0.1338945805
174	0.1338222823
175	0.1337574933
176	0.1337096506
177	0.1336586159
178	0.1336020446
179	0.1335525314
180	0.133509625
181	0.1334554661
182	0.1334057685
183	0.1333584747
184	0.1332896549
185	0.1332478939
186	0.1332127621
187	0.1331747853
188	0.1331287925
189	0.1330863761
190	0.1330211335
191	0.1329709897
192	0.1329382267
193	0.1329029532
194	0.1328652112
195	0.1328281035
196	0.1327807885
197	0.1327430461
198	0.1327005341
199	0.1326570603
200	0.1326224856
201	0.1325879712
202	0.1325474585
203	0.1325137875
204	0.1324818538
205	0.1324588314
206	0.1324316664
207	0.132394045
208	0.1323644775
209	0.1323354283
210	0.1323112694
211	0.1322867876
212	0.1322444601
213	0.1322154553
214	0.1321795807
215	0.1321302181
216	0.1321019809
217	0.1320621937
218	0.1320324375
219	0.132001733
220	0.1319752308
221	0.1319489558
222	0.1319224116
223	0.1318940167
224	0.1318646418
225	0.1318324767
226	0.1318121334
227	0.1317808332
228	0.1317490047
229	0.1317028879
230	0.131675907
231	0.1316448411
232	0.1316124992
233	0.1315833874
234	0.1315588384
235	0.131539193
236	0.1315095821
237	0.1314916423
238	0.1314616218
239	0.1314419574
240	0.1314207586
241	0.1313878593
242	0.131364744
243	0.1313547916
244	0.1313287229
245	0.1313044136
246	0.1312644487
247	0.1312444089
248	0.1312266463
249	0.1311928984
250	0.1311752363
251	0.1311509053
252	0.1311354001
253	0.1311098055
254	0.131082606
255	0.1310482443
256	0.1310236574
257	0.1309963669
258	0.1309837097
259	0.1309554269
260	0.1309286871
261	0.1309089047
262	0.1308830748
263	0.1308621276
264	0.1308414195
265	0.1308163843
266	0.1307986053
267	0.1307766587
268	0.1307617132
269	0.1307369356
270	0.1307120247
271	0.1306785307
272	0.130655661
273	0.1306358876
274	0.1306199829
275	0.13060288
276	0.1305871207
277	0.1305689951
278	0.1305465138
279	0.1305338935
280	0.1305192755
281	0.1305093707
282	0.1304844325
283	0.1304680788
284	0.1304490169
285	0.1304336716
286	0.1304136318
287	0.1303940362
288	0.130379192
289	0.1303619292
290	0.1303471831
291	0.1303203043
292	0.1302954883
293	0.1302751033
294	0.1302578377
295	0.1302426592
296	0.1302265311
297	0.130205416
298	0.1301861064
299	0.130173781
300	0.1301568962
301	0.1301455376
302	0.1301320192
303	0.130107719
304	0.1300904492
305	0.1300723886
306	0.1300462262
307	0.1300340645
308	0.1300206791
309	0.1300098546
310	0.1299918344
311	0.1299719833
312	0.1299558998
313	0.1299336282
314	0.1299064972
315	0.1298860298
316	0.1298704847
