iter	Passed	Remaining
0	2	2026
1	3	1951
2	5	1896
3	7	1896
4	9	1883
5	11	1866
6	13	1851
7	14	1830
8	16	1855
9	18	1842
10	20	1859
11	22	1848
12	24	1856
13	26	1854
14	28	1851
15	29	1840
16	31	1836
17	33	1836
18	35	1831
19	37	1825
20	39	1819
21	40	1812
22	42	1806
23	44	1798
24	46	1796
25	47	1792
26	49	1794
27	51	1790
28	53	1790
29	55	1786
30	57	1789
31	59	1790
32	60	1787
33	62	1781
34	64	1778
35	66	1777
36	68	1775
37	70	1772
38	71	1764
39	73	1754
40	74	1751
41	76	1744
42	78	1740
43	79	1731
44	81	1725
45	82	1720
46	84	1715
47	86	1713
48	87	1707
49	89	1705
50	91	1700
51	93	1695
52	94	1692
53	96	1686
54	97	1683
55	99	1680
56	101	1675
57	103	1673
58	104	1670
59	106	1668
60	107	1662
61	109	1660
62	111	1658
63	113	1653
64	114	1650
65	116	1646
66	117	1642
67	119	1639
68	121	1636
69	123	1635
70	124	1632
71	126	1629
72	128	1626
73	129	1622
74	131	1619
75	132	1614
76	134	1610
77	135	1607
78	137	1602
79	139	1599
80	140	1598
81	142	1596
82	144	1593
83	145	1589
84	147	1587
85	149	1584
86	150	1581
87	152	1578
88	154	1576
89	155	1575
90	157	1575
91	159	1573
92	161	1571
93	162	1569
94	164	1567
95	166	1566
96	168	1564
97	169	1563
98	171	1561
99	173	1560
100	175	1558
101	176	1556
102	178	1553
103	180	1555
104	182	1554
105	184	1553
106	185	1552
107	187	1550
108	189	1550
109	191	1548
110	193	1546
111	194	1545
112	196	1546
113	198	1545
114	201	1546
115	203	1547
116	204	1547
117	206	1544
118	208	1543
119	210	1542
120	212	1542
121	215	1553
122	217	1551
123	219	1550
124	221	1549
125	223	1547
126	224	1545
127	226	1543
128	228	1541
129	230	1542
130	232	1540
131	233	1538
132	235	1535
133	237	1535
134	239	1531
135	240	1530
136	242	1527
137	244	1525
138	246	1525
139	247	1522
140	249	1520
141	251	1519
142	253	1517
143	254	1515
144	256	1513
145	258	1510
146	259	1508
147	261	1505
148	263	1503
149	264	1500
150	266	1498
151	268	1495
152	269	1493
153	271	1492
154	273	1490
155	275	1488
156	276	1485
157	278	1484
158	280	1482
159	282	1481
160	284	1481
161	286	1480
162	288	1479
163	289	1476
164	291	1475
165	293	1472
166	294	1470
167	296	1467
168	298	1466
169	299	1463
170	301	1460
171	303	1459
172	304	1457
173	306	1456
174	308	1454
175	310	1452
176	312	1451
177	313	1449
178	315	1447
179	317	1445
180	319	1445
181	321	1443
182	322	1441
183	324	1439
184	326	1437
185	328	1435
186	329	1433
187	331	1431
188	333	1429
189	334	1426
190	336	1424
191	338	1422
192	339	1420
193	341	1418
194	343	1416
195	344	1414
196	346	1412
197	348	1410
198	349	1407
199	351	1406
200	353	1404
201	354	1402
202	356	1399
203	357	1396
204	359	1394
205	361	1392
206	362	1390
207	364	1389
208	366	1388
209	368	1387
210	370	1385
211	372	1384
212	374	1382
213	375	1380
214	377	1379
215	379	1377
216	381	1375
217	382	1373
218	384	1372
219	386	1370
220	388	1369
221	390	1367
222	392	1365
223	393	1363
224	395	1362
225	397	1360
226	398	1357
227	400	1355
228	402	1353
229	403	1351
230	405	1349
231	407	1347
232	408	1345
233	410	1343
234	412	1342
235	414	1341
236	416	1339
237	417	1337
238	419	1335
239	421	1333
240	422	1331
241	424	1329
242	426	1327
243	428	1326
244	429	1324
245	431	1321
246	433	1320
247	434	1318
248	436	1317
249	438	1315
250	440	1313
251	441	1311
252	443	1310
253	446	1310
254	447	1308
255	450	1308
256	451	1306
257	453	1304
258	455	1303
259	457	1302
260	459	1301
261	461	1299
262	463	1298
263	465	1297
264	467	1296
265	469	1295
266	471	1294
267	473	1292
268	475	1291
269	477	1289
270	479	1288
271	481	1287
272	483	1286
273	485	1285
274	487	1284
275	488	1282
276	491	1282
277	493	1281
278	495	1280
279	498	1282
280	500	1281
281	502	1279
282	504	1278
283	506	1276
284	508	1275
285	510	1273
286	511	1271
287	513	1269
288	515	1268
289	517	1266
290	519	1264
291	520	1262
292	522	1261
293	524	1259
294	526	1257
295	527	1255
296	529	1253
297	531	1251
298	533	1250
299	534	1247
300	536	1245
301	537	1243
302	539	1240
303	540	1238
304	542	1235
305	543	1233
306	545	1231
307	547	1228
308	548	1226
309	550	1224
310	551	1222
311	553	1220
312	554	1218
313	556	1216
314	558	1213
315	559	1211
316	561	1210
317	563	1207
318	564	1205
319	566	1203
320	567	1200
321	569	1198
322	570	1196
323	572	1194
324	574	1192
325	575	1190
326	577	1188
327	578	1186
328	580	1183
329	582	1181
330	583	1179
331	585	1177
332	586	1175
333	588	1174
334	590	1172
335	592	1170
336	594	1169
337	596	1167
338	597	1165
339	599	1164
340	601	1162
341	603	1160
342	605	1159
343	606	1157
344	608	1155
345	610	1153
346	611	1151
347	614	1150
348	615	1148
349	617	1146
350	619	1144
351	620	1142
352	622	1141
353	624	1139
354	625	1137
355	627	1135
356	629	1133
357	630	1131
358	632	1128
359	633	1126
360	635	1124
361	636	1122
362	638	1120
363	640	1118
364	642	1117
365	643	1114
366	645	1112
367	646	1111
368	648	1109
369	650	1107
370	652	1105
371	653	1103
372	655	1101
373	656	1099
374	658	1097
375	659	1095
376	661	1093
377	663	1091
378	665	1089
379	666	1087
380	668	1085
381	669	1083
382	671	1081
383	673	1080
384	674	1078
385	676	1076
386	677	1073
387	679	1072
388	681	1070
389	683	1068
390	684	1066
391	686	1064
392	688	1063
393	689	1061
394	691	1059
395	693	1057
396	694	1055
397	696	1053
398	698	1051
399	699	1049
400	701	1047
401	702	1045
402	704	1044
403	706	1041
404	708	1040
405	709	1038
406	711	1036
407	713	1034
408	714	1032
409	716	1030
410	717	1028
411	719	1026
412	721	1024
413	722	1022
414	724	1021
415	725	1019
416	727	1016
417	729	1015
418	730	1013
419	732	1010
420	733	1009
421	735	1006
422	736	1005
423	738	1002
424	739	1000
425	741	999
426	743	997
427	744	995
428	746	993
429	748	991
430	749	990
431	751	987
432	753	986
433	754	984
434	756	982
435	758	980
436	759	978
437	761	977
438	763	975
439	764	973
440	766	971
441	767	969
442	769	967
443	771	965
444	772	963
445	774	962
446	776	960
447	778	958
448	779	956
449	781	954
450	783	953
451	784	951
452	786	949
453	787	947
454	789	945
455	790	943
456	792	941
457	794	939
458	795	937
459	797	935
460	798	934
461	800	932
462	802	930
463	803	928
464	805	926
465	806	924
466	808	922
467	810	921
468	811	919
469	813	917
470	815	915
471	816	913
472	818	911
473	820	909
474	821	908
475	823	906
476	824	904
477	826	902
478	828	900
479	830	899
480	832	897
481	833	896
482	835	894
483	837	893
484	839	891
485	841	889
486	843	888
487	844	886
488	846	884
489	848	882
490	850	881
491	852	879
492	854	878
493	856	876
494	857	875
495	860	873
496	862	872
497	863	870
498	865	868
499	866	866
500	868	865
501	870	863
502	872	861
503	873	859
504	875	858
505	877	856
506	879	855
507	881	853
508	882	851
509	884	849
510	885	847
511	887	845
512	889	844
513	891	842
514	893	840
515	894	839
516	896	837
517	898	835
518	899	833
519	901	832
520	902	830
521	904	828
522	906	826
523	907	824
524	909	823
525	911	821
526	912	819
527	914	817
528	915	815
529	917	813
530	919	811
531	920	809
532	922	808
